id_usuario,salario,fecha_contratacion,disponibilidad
1,1855.87,2024-03-28,True
2,1442.77,2024-04-20,True
3,2116.35,2021-07-31,False
4,2476.98,2024-02-21,False
5,2208.09,2023-08-13,False
6,2798.28,2021-02-03,True
7,1987.29,2020-05-04,False
8,1610.65,2021-11-27,True
9,2795.7,2024-04-11,False
10,2266.24,2020-05-09,True
11,2763.27,2020-09-30,True
12,1599.85,2021-10-07,True
13,1196.4,2024-01-15,False
14,1091.15,2019-12-16,False
15,1911.77,2019-09-04,False
16,2960.18,2024-02-24,True
17,2672.94,2023-06-08,True
18,1327.51,2024-03-10,False
19,2051.28,2024-03-19,False
20,1538.31,2019-11-25,True
21,2560.63,2023-11-05,False
22,2295.6,2022-09-12,False
23,2743.38,2020-10-27,False
24,2876.0,2022-05-20,True
25,1746.43,2022-09-27,True
